Date,Time,Temperature
2024-07-01,00:00,25
2024-07-01,06:00,24
2024-07-01,12:00,23
2024-07-01,18:00,26
2024-07-02,00:00,27
2024-07-02,06:00,26
2024-07-02,12:00,28
2024-07-02,18:00,30
2024-07-03,00:00,31
2024-07-03,06:00,30
2024-07-03,12:00,32
2024-07-03,18:00,34
2024-07-04,00:00,35
2024-07-04,06:00,34
2024-07-04,12:00,36
2024-07-04,18:00,38
2024-07-05,00:00,39
2024-07-05,06:00,38
2024-07-05,12:00,40
2024-07-05,18:00,42
2024-07-06,00:00,43
2024-07-06,06:00,42
2024-07-06,12:00,44
2024-07-06,18:00,46
2024-07-07,00:00,47
2024-07-07,06:00,46
2024-07-07,12:00,48
2024-07-07,18:00,50

